ID, Name, Address, Amenity, Latitude, Longitute
3623547525, Burger Friends, Митрополит Теодосиј Гологанов, fast_food, 41.9952491, 21.4238539
3648714485, Барбакан, Булевар 8-ми Септември, restaurant, 42.0062651, 21.4063144
5260415957, Паб Порта, Булевар Партизански Одреди, pub, 41.9981195, 21.4239699
3427388702, Дринкерс Парадајз, Христо Смирненски, pub, 41.9964357, 21.4147832
5484708477, Thirio, Булевар Илинден, bar, 42.0007066, 21.4268797
5131817487, Domino's Pizza, Димитрие Чуповски, fast_food, 41.9955107, 21.4255670
600905655, Две капки, Хелсинки, restaurant, 42.0028498, 21.3926682
8549720690, Subzy, Дане Крапчев, fast_food, 42.0009144, 21.4162609
5033108253, Кантина, Радњанска, restaurant, 42.0005946, 21.4191901
5813417254, Кафана "Дебар Маало", Живко Чинго, restaurant, 42.0009079, 21.4200655
3648714484, Брик бар, ул.1732, bar, 42.0056059, 21.4285673
1380378665, Рустикана, Римска, restaurant, 41.9997295, 21.4078483
4234144690, Belier, Владимир Полежановски, cafe, 41.9984995, 21.4168806
1355306911, Кафе Филипос, Благој Давков, cafe, 42.0007963, 21.4175044
2818872887, Сокаче, Драган Ѓаконовски Шпато, restaurant, 42.0051241, 21.4145137
6815559888, Shakespeare Cafe, Булевар Партизански Одреди, cafe, 41.9981835, 21.4234973
4491144570, Ресторан Буре Срна, Никола Русински, restaurant, 42.0045887, 21.3936186
1868812117, Дестан, Владимир Полежановски, restaurant, 41.9987513, 21.4204158
4531682389, Македонска куќа, Митрополит Теодосиј Гологанов, restaurant, 41.9959806, 21.4021635
8094057485, Сидро, Атинска, restaurant, 41.9974684, 21.4097614
5131832941, 7 Скара Ресторан, Даме Груев, restaurant, 41.9948293, 21.4276093
5604182920, Mikel, Булевар Партизански Одреди, cafe, 41.9986406, 21.4253762
8745631651, Paradise Food, Даме Груев, restaurant, 41.9942708, 21.4276555
411009859, Strip, Dimitrija Cupovski, cafe, 41.9955693, 21.4253358
1751563134, Pastel Wine & Dine, Булевар Климент Охридски, restaurant, 41.9947645, 21.4245254
1371716593, Топаз, Рузвелтова, restaurant, 41.9979155, 21.4122694
6374712571, Joy Café & Bakery (Karposh), Никола Тесла, cafe, 42.0055109, 21.4109206
6307066053, fourplay, Орце Николов, cafe, 42.0012294, 21.4230080
10151360411, Mama, Орце Николов, restaurant, 42.0005347, 21.4250341
2858315264, DM Restaurant, Орце Николов, fast_food, 42.0035281, 21.4167758
7130929832, Скадарлија, Орце Николов, restaurant, 42.0046693, 21.4147058
